20180112,序,持股/單位數分級,人　　數,股　　數/單位數,佔集保庫存數比例 (%)
20170218,6,"20,001-30,000","4,607","112,289,541",0.43
20170218,7,"30,001-40,000","2,132","73,523,366",0.28
20170218,8,"40,001-50,000","1,385","62,135,011",0.23
20170218,9,"50,001-100,000","2,751","192,612,496",0.74
20170218,10,"100,001-200,000","1,444","201,776,825",0.77
20170218,11,"200,001-400,000",998,"280,131,702",1.08
20170218,12,"400,001-600,000",438,"215,305,835",0.83
20170218,13,"600,001-800,000",268,"185,290,571",0.71
20170218,14,"800,001-1,000,000",141,"124,962,632",0.48
20170218,15,"1,000,001以上","1,444","23,848,968,284",91.97
20170218,16,差異數調整（說明4）,,"-5,000",-0.00
20170218,,合　計,"320,580","25,930,380,458",100.00
20170210,序,持股/單位數分級,人　　數,股　　數/單位數,佔集保庫存數比例 (%)
20170210,1,1-999,"146,176","32,886,578",0.12
20170210,2,"1,000-5,000","125,099","262,912,278",1.01
20170210,3,"5,001-10,000","23,416","167,263,298",0.64
20170210,4,"10,001-15,000","9,057","110,179,349",0.42
20170210,5,"15,001-20,000","4,068","71,368,394",0.27
20170210,6,"20,001-30,000","4,661","113,549,238",0.43
20170210,7,"30,001-40,000","2,169","74,898,089",0.28
20170210,8,"40,001-50,000","1,388","62,278,889",0.24
20170210,9,"50,001-100,000","2,774","194,124,674",0.74
20170210,10,"100,001-200,000","1,453","203,275,619",0.78
20170210,11,"200,001-400,000",997,"279,509,315",1.07
20170210,12,"400,001-600,000",439,"215,497,664",0.83
20170210,13,"600,001-800,000",271,"187,966,674",0.72
20170210,14,"800,001-1,000,000",137,"121,084,175",0.46
20170210,15,"1,000,001以上","1,450","23,833,586,224",91.91
20170210,,合　計,"323,555","25,930,380,458",100.00
20170203,序,持股/單位數分級,人　　數,股　　數/單位數,佔集保庫存數比例 (%)
20170203,1,1-999,"146,262","32,921,596",0.12
20170203,2,"1,000-5,000","124,308","261,633,780",1.00
20170203,3,"5,001-10,000","23,345","166,675,504",0.64
20170203,4,"10,001-15,000","9,041","109,949,847",0.42
20170203,5,"15,001-20,000","4,059","71,209,676",0.27
20170203,6,"20,001-30,000","4,651","113,202,049",0.43
20170203,7,"30,001-40,000","2,172","75,029,814",0.28
20170203,8,"40,001-50,000","1,372","61,541,140",0.23
20170203,9,"50,001-100,000","2,767","193,338,770",0.74
20170203,10,"100,001-200,000","1,447","202,677,904",0.78
20170203,11,"200,001-400,000",993,"278,992,828",1.07
20170203,12,"400,001-600,000",437,"214,183,607",0.82
20170203,13,"600,001-800,000",273,"189,336,028",0.73
20170203,14,"800,001-1,000,000",143,"126,236,996",0.48
20170203,15,"1,000,001以上","1,447","23,833,450,919",91.91
20170203,,合　計,"322,717","25,930,380,458",100.00
20170126,序,持股/單位數分級,人　　數,股　　數/單位數,佔集保庫存數比例 (%)
20170126,1,1-999,"146,200","32,905,905",0.12
20170126,2,"1,000-5,000","125,384","263,910,684",1.01
20170126,3,"5,001-10,000","23,472","167,719,176",0.64
20170126,4,"10,001-15,000","9,068","110,318,845",0.42
20170126,5,"15,001-20,000","4,081","71,659,043",0.27
20170126,6,"20,001-30,000","4,674","113,778,695",0.43
20170126,7,"30,001-40,000","2,178","75,245,643",0.29
20170126,8,"40,001-50,000","1,371","61,535,133",0.23
20170126,9,"50,001-100,000","2,770","193,681,091",0.74
20170126,10,"100,001-200,000","1,445","202,205,901",0.77
20170126,11,"200,001-400,000",997,"279,961,579",1.07
20170126,12,"400,001-600,000",434,"212,774,926",0.82
20170126,13,"600,001-800,000",275,"190,535,344",0.73
20170126,14,"800,001-1,000,000",147,"129,965,899",0.50
20170126,15,"1,000,001以上","1,445","23,824,182,594",91.87
20170126,,合　計,"323,941","25,930,380,458",100.00
20170120,序,持股/單位數分級,人　　數,股　　數/單位數,佔集保庫存數比例 (%)
20170120,1,1-999,"145,955","32,850,570",0.12
20170120,2,"1,000-5,000","129,862","272,719,584",1.05
20170120,3,"5,001-10,000","23,915","171,122,449",0.65
20170120,4,"10,001-15,000","9,179","111,734,933",0.43
20170120,5,"15,001-20,000","4,134","72,625,596",0.28
20170120,6,"20,001-30,000","4,743","115,593,362",0.44
20170120,7,"30,001-40,000","2,205","76,222,127",0.29
20170120,8,"40,001-50,000","1,392","62,493,346",0.24
20170120,9,"50,001-100,000","2,777","194,088,598",0.74
20170120,10,"100,001-200,000","1,457","203,853,743",0.78
20170120,11,"200,001-400,000",997,"279,933,456",1.07
20170120,12,"400,001-600,000",441,"216,990,663",0.83
20170120,13,"600,001-800,000",272,"187,930,577",0.72
20170120,14,"800,001-1,000,000",143,"126,685,087",0.48
20170120,15,"1,000,001以上","1,442","23,805,536,367",91.80
20170120,,合　計,"328,914","25,930,380,458",100.00
20170113,序,持股/單位數分級,人　　數,股　　數/單位數,佔集保庫存數比例 (%)
20170113,1,1-999,"146,221","32,906,879",0.12
20170113,2,"1,000-5,000","126,106","265,409,364",1.02
20170113,3,"5,001-10,000","23,541","168,338,351",0.64
20170113,4,"10,001-15,000","9,071","110,276,154",0.42
20170113,5,"15,001-20,000","4,077","71,560,831",0.27
20170113,6,"20,001-30,000","4,687","114,146,849",0.44
20170113,7,"30,001-40,000","2,193","75,839,033",0.29
20170113,8,"40,001-50,000","1,365","61,269,029",0.23
20170113,9,"50,001-100,000","2,756","192,313,135",0.74
20170113,10,"100,001-200,000","1,457","203,587,640",0.78
20170113,11,"200,001-400,000","1,001","281,197,184",1.08
20170113,12,"400,001-600,000",441,"216,258,695",0.83
20170113,13,"600,001-800,000",279,"193,182,485",0.74
20170113,14,"800,001-1,000,000",138,"122,350,695",0.47
20170113,15,"1,000,001以上","1,439","23,821,744,134",91.86
20170113,,合　計,"324,772","25,930,380,458",100.00
20170106,序,持股/單位數分級,人　　數,股　　數/單位數,佔集保庫存數比例 (%)
20170106,1,1-999,"146,167","32,900,866",0.12
20170106,2,"1,000-5,000","127,916","269,125,141",1.03
20170106,3,"5,001-10,000","23,737","169,787,600",0.65
20170106,4,"10,001-15,000","9,096","110,605,732",0.42
20170106,5,"15,001-20,000","4,113","72,204,194",0.27
20170106,6,"20,001-30,000","4,694","114,370,101",0.44
20170106,7,"30,001-40,000","2,196","75,913,850",0.29
20170106,8,"40,001-50,000","1,393","62,569,493",0.24
20170106,9,"50,001-100,000","2,762","192,983,964",0.74
20170106,10,"100,001-200,000","1,457","203,904,267",0.78
20170106,11,"200,001-400,000",998,"280,347,902",1.08
20170106,12,"400,001-600,000",442,"217,696,203",0.83
20170106,13,"600,001-800,000",275,"190,910,218",0.73
20170106,14,"800,001-1,000,000",144,"128,148,839",0.49
20170106,15,"1,000,001以上","1,430","23,808,912,088",91.81
20170106,,合　計,"326,820","25,930,380,458",100.00
