,date,level,shares,people,shares_per_people,proportion
738,2017-03-24,4.0,"10,001-15,000",8787,106663256,0.4099999964237213
739,2017-03-24,5.0,"15,001-20,000",3967,69536540,0.25999999046325684
740,2017-03-24,6.0,"20,001-30,000",4539,110562061,0.41999998688697815
741,2017-03-24,7.0,"30,001-40,000",2107,72685888,0.2800000011920929
742,2017-03-24,8.0,"40,001-50,000",1366,61344395,0.23000000417232513
743,2017-03-24,9.0,"50,001-100,000",2728,190520189,0.7300000190734863
744,2017-03-24,10.0,"100,001-200,000",1436,200381032,0.7699999809265137
745,2017-03-24,11.0,"200,001-400,000",1011,285348382,1.100000023841858
746,2017-03-24,12.0,"400,001-600,000",420,206644664,0.7900000214576721
747,2017-03-24,13.0,"600,001-800,000",272,188601029,0.7200000286102295
748,2017-03-24,14.0,"800,001-1,000,000",152,135612920,0.5199999809265137
749,2017-03-24,15.0,"1,000,001以上",1442,23856609748,92.0
752,2017-03-17,1.0,1-999,146156,32791157,0.11999999731779099
753,2017-03-17,2.0,"1,000-5,000",124027,259599445,1.0
754,2017-03-17,3.0,"5,001-10,000",23121,165125983,0.6299999952316284
755,2017-03-17,4.0,"10,001-15,000",8951,108767887,0.4099999964237213
756,2017-03-17,5.0,"15,001-20,000",4006,70234446,0.27000001072883606
757,2017-03-17,6.0,"20,001-30,000",4623,112661420,0.4300000071525574
758,2017-03-17,7.0,"30,001-40,000",2135,73694755,0.2800000011920929
759,2017-03-17,8.0,"40,001-50,000",1385,62177679,0.23000000417232513
760,2017-03-17,9.0,"50,001-100,000",2750,192343687,0.7400000095367432
761,2017-03-17,10.0,"100,001-200,000",1434,200164530,0.7699999809265137
762,2017-03-17,11.0,"200,001-400,000",1007,283904840,1.090000033378601
763,2017-03-17,12.0,"400,001-600,000",423,207381408,0.7900000214576721
764,2017-03-17,13.0,"600,001-800,000",273,188735205,0.7200000286102295
765,2017-03-17,14.0,"800,001-1,000,000",146,129727878,0.5
766,2017-03-17,15.0,"1,000,001以上",1445,23843070138,91.94999694824219
769,2017-03-10,1.0,1-999,145934,32736367,0.11999999731779099
770,2017-03-10,2.0,"1,000-5,000",126667,264925903,1.0199999809265137
771,2017-03-10,3.0,"5,001-10,000",23384,167109114,0.6399999856948853
772,2017-03-10,4.0,"10,001-15,000",9014,109578817,0.41999998688697815
773,2017-03-10,5.0,"15,001-20,000",4080,71640073,0.27000001072883606
774,2017-03-10,6.0,"20,001-30,000",4675,114060853,0.4300000071525574
775,2017-03-10,7.0,"30,001-40,000",2167,74847120,0.2800000011920929
776,2017-03-10,8.0,"40,001-50,000",1384,62129314,0.23000000417232513
777,2017-03-10,9.0,"50,001-100,000",2776,194259486,0.7400000095367432
778,2017-03-10,10.0,"100,001-200,000",1440,201033306,0.7699999809265137
779,2017-03-10,11.0,"200,001-400,000",1007,284436477,1.090000033378601
780,2017-03-10,12.0,"400,001-600,000",419,206282809,0.7900000214576721
781,2017-03-10,13.0,"600,001-800,000",277,191270097,0.7300000190734863
782,2017-03-10,14.0,"800,001-1,000,000",139,123428246,0.4699999988079071
783,2017-03-10,15.0,"1,000,001以上",1444,23832642476,91.91000366210938
786,2017-03-03,1.0,1-999,146279,32825378,0.11999999731779099
787,2017-03-03,2.0,"1,000-5,000",123932,259728902,1.0
788,2017-03-03,3.0,"5,001-10,000",23129,165111353,0.6299999952316284
789,2017-03-03,4.0,"10,001-15,000",8960,108892687,0.4099999964237213
790,2017-03-03,5.0,"15,001-20,000",4068,71424883,0.27000001072883606
791,2017-03-03,6.0,"20,001-30,000",4622,112669582,0.4300000071525574
792,2017-03-03,7.0,"30,001-40,000",2156,74447024,0.2800000011920929
793,2017-03-03,8.0,"40,001-50,000",1380,61944781,0.23000000417232513
794,2017-03-03,9.0,"50,001-100,000",2763,193305529,0.7400000095367432
795,2017-03-03,10.0,"100,001-200,000",1427,199261486,0.7599999904632568
796,2017-03-03,11.0,"200,001-400,000",1006,282818170,1.090000033378601
797,2017-03-03,12.0,"400,001-600,000",432,212582100,0.8100000023841858
798,2017-03-03,13.0,"600,001-800,000",269,185983521,0.7099999785423279
799,2017-03-03,14.0,"800,001-1,000,000",138,122510467,0.4699999988079071
800,2017-03-03,15.0,"1,000,001以上",1445,23846874595,91.95999908447266
803,2017-02-24,1.0,1-999,146423,32868411,0.11999999731779099
804,2017-02-24,2.0,"1,000-5,000",122438,256925128,0.9900000095367432
805,2017-02-24,3.0,"5,001-10,000",22999,164120295,0.6299999952316284
806,2017-02-24,4.0,"10,001-15,000",8897,108076493,0.4099999964237213
807,2017-02-24,5.0,"15,001-20,000",4010,70323372,0.27000001072883606
808,2017-02-24,6.0,"20,001-30,000",4609,112352767,0.4300000071525574
809,2017-02-24,7.0,"30,001-40,000",2139,73823313,0.2800000011920929
810,2017-02-24,8.0,"40,001-50,000",1372,61552035,0.23000000417232513
811,2017-02-24,9.0,"50,001-100,000",2749,192317836,0.7400000095367432
812,2017-02-24,10.0,"100,001-200,000",1435,200490177,0.7699999809265137
813,2017-02-24,11.0,"200,001-400,000",1001,280905052,1.0800000429153442
814,2017-02-24,12.0,"400,001-600,000",433,213034667,0.8199999928474426
815,2017-02-24,13.0,"600,001-800,000",269,186001667,0.7099999785423279
816,2017-02-24,14.0,"800,001-1,000,000",143,127007144,0.47999998927116394
817,2017-02-24,15.0,"1,000,001以上",1443,23850582101,91.97000122070312
820,2017-02-18,1.0,1-999,146484,32919211,0.11999999731779099
821,2017-02-18,2.0,"1,000-5,000",122546,257444188,0.9900000095367432
822,2017-02-18,3.0,"5,001-10,000",23011,164241223,0.6299999952316284
823,2017-02-18,4.0,"10,001-15,000",8906,108211084,0.4099999964237213
824,2017-02-18,5.0,"15,001-20,000",4025,70573489,0.27000001072883606
825,2017-02-18,6.0,"20,001-30,000",4607,112289541,0.4300000071525574
826,2017-02-18,7.0,"30,001-40,000",2132,73523366,0.2800000011920929
827,2017-02-18,8.0,"40,001-50,000",1385,62135011,0.23000000417232513
828,2017-02-18,9.0,"50,001-100,000",2751,192612496,0.7400000095367432
829,2017-02-18,10.0,"100,001-200,000",1444,201776825,0.7699999809265137
830,2017-02-18,11.0,"200,001-400,000",998,280131702,1.0800000429153442
831,2017-02-18,12.0,"400,001-600,000",438,215305835,0.8299999833106995
832,2017-02-18,13.0,"600,001-800,000",268,185290571,0.7099999785423279
833,2017-02-18,14.0,"800,001-1,000,000",141,124962632,0.47999998927116394
834,2017-02-18,15.0,"1,000,001以上",1444,23848968284,91.97000122070312
838,2017-02-10,1.0,1-999,146176,32886578,0.11999999731779099
839,2017-02-10,2.0,"1,000-5,000",125099,262912278,1.0099999904632568
840,2017-02-10,3.0,"5,001-10,000",23416,167263298,0.6399999856948853
841,2017-02-10,4.0,"10,001-15,000",9057,110179349,0.41999998688697815
842,2017-02-10,5.0,"15,001-20,000",4068,71368394,0.27000001072883606
843,2017-02-10,6.0,"20,001-30,000",4661,113549238,0.4300000071525574
844,2017-02-10,7.0,"30,001-40,000",2169,74898089,0.2800000011920929
845,2017-02-10,8.0,"40,001-50,000",1388,62278889,0.23999999463558197
846,2017-02-10,9.0,"50,001-100,000",2774,194124674,0.7400000095367432
847,2017-02-10,10.0,"100,001-200,000",1453,203275619,0.7799999713897705
848,2017-02-10,11.0,"200,001-400,000",997,279509315,1.0700000524520874
849,2017-02-10,12.0,"400,001-600,000",439,215497664,0.8299999833106995
850,2017-02-10,13.0,"600,001-800,000",271,187966674,0.7200000286102295
851,2017-02-10,14.0,"800,001-1,000,000",137,121084175,0.46000000834465027
852,2017-02-10,15.0,"1,000,001以上",1450,23833586224,91.91000366210938
855,2017-02-03,1.0,1-999,146262,32921596,0.11999999731779099
856,2017-02-03,2.0,"1,000-5,000",124308,261633780,1.0
857,2017-02-03,3.0,"5,001-10,000",23345,166675504,0.6399999856948853
858,2017-02-03,4.0,"10,001-15,000",9041,109949847,0.41999998688697815
859,2017-02-03,5.0,"15,001-20,000",4059,71209676,0.27000001072883606
860,2017-02-03,6.0,"20,001-30,000",4651,113202049,0.4300000071525574
861,2017-02-03,7.0,"30,001-40,000",2172,75029814,0.2800000011920929
862,2017-02-03,8.0,"40,001-50,000",1372,61541140,0.23000000417232513
863,2017-02-03,9.0,"50,001-100,000",2767,193338770,0.7400000095367432
864,2017-02-03,10.0,"100,001-200,000",1447,202677904,0.7799999713897705
865,2017-02-03,11.0,"200,001-400,000",993,278992828,1.0700000524520874
866,2017-02-03,12.0,"400,001-600,000",437,214183607,0.8199999928474426
867,2017-02-03,13.0,"600,001-800,000",273,189336028,0.7300000190734863
868,2017-02-03,14.0,"800,001-1,000,000",143,126236996,0.47999998927116394
869,2017-02-03,15.0,"1,000,001以上",1447,23833450919,91.91000366210938
872,2017-01-26,1.0,1-999,146200,32905905,0.11999999731779099
873,2017-01-26,2.0,"1,000-5,000",125384,263910684,1.0099999904632568
874,2017-01-26,3.0,"5,001-10,000",23472,167719176,0.6399999856948853
875,2017-01-26,4.0,"10,001-15,000",9068,110318845,0.41999998688697815
876,2017-01-26,5.0,"15,001-20,000",4081,71659043,0.27000001072883606
877,2017-01-26,6.0,"20,001-30,000",4674,113778695,0.4300000071525574
878,2017-01-26,7.0,"30,001-40,000",2178,75245643,0.28999999165534973
879,2017-01-26,8.0,"40,001-50,000",1371,61535133,0.23000000417232513
880,2017-01-26,9.0,"50,001-100,000",2770,193681091,0.7400000095367432
881,2017-01-26,10.0,"100,001-200,000",1445,202205901,0.7699999809265137
882,2017-01-26,11.0,"200,001-400,000",997,279961579,1.0700000524520874
883,2017-01-26,12.0,"400,001-600,000",434,212774926,0.8199999928474426
884,2017-01-26,13.0,"600,001-800,000",275,190535344,0.7300000190734863
885,2017-01-26,14.0,"800,001-1,000,000",147,129965899,0.5
886,2017-01-26,15.0,"1,000,001以上",1445,23824182594,91.87000274658203
889,2017-01-20,1.0,1-999,145955,32850570,0.11999999731779099
890,2017-01-20,2.0,"1,000-5,000",129862,272719584,1.0499999523162842
891,2017-01-20,3.0,"5,001-10,000",23915,171122449,0.6499999761581421
892,2017-01-20,4.0,"10,001-15,000",9179,111734933,0.4300000071525574
893,2017-01-20,5.0,"15,001-20,000",4134,72625596,0.2800000011920929
894,2017-01-20,6.0,"20,001-30,000",4743,115593362,0.4399999976158142
895,2017-01-20,7.0,"30,001-40,000",2205,76222127,0.28999999165534973
896,2017-01-20,8.0,"40,001-50,000",1392,62493346,0.23999999463558197
897,2017-01-20,9.0,"50,001-100,000",2777,194088598,0.7400000095367432
898,2017-01-20,10.0,"100,001-200,000",1457,203853743,0.7799999713897705
899,2017-01-20,11.0,"200,001-400,000",997,279933456,1.0700000524520874
900,2017-01-20,12.0,"400,001-600,000",441,216990663,0.8299999833106995
901,2017-01-20,13.0,"600,001-800,000",272,187930577,0.7200000286102295
902,2017-01-20,14.0,"800,001-1,000,000",143,126685087,0.47999998927116394
903,2017-01-20,15.0,"1,000,001以上",1442,23805536367,91.80000305175781
906,2017-01-13,1.0,1-999,146221,32906879,0.11999999731779099
907,2017-01-13,2.0,"1,000-5,000",126106,265409364,1.0199999809265137
908,2017-01-13,3.0,"5,001-10,000",23541,168338351,0.6399999856948853
909,2017-01-13,4.0,"10,001-15,000",9071,110276154,0.41999998688697815
910,2017-01-13,5.0,"15,001-20,000",4077,71560831,0.27000001072883606
911,2017-01-13,6.0,"20,001-30,000",4687,114146849,0.4399999976158142
912,2017-01-13,7.0,"30,001-40,000",2193,75839033,0.28999999165534973
913,2017-01-13,8.0,"40,001-50,000",1365,61269029,0.23000000417232513
914,2017-01-13,9.0,"50,001-100,000",2756,192313135,0.7400000095367432
915,2017-01-13,10.0,"100,001-200,000",1457,203587640,0.7799999713897705
916,2017-01-13,11.0,"200,001-400,000",1001,281197184,1.0800000429153442
917,2017-01-13,12.0,"400,001-600,000",441,216258695,0.8299999833106995
918,2017-01-13,13.0,"600,001-800,000",279,193182485,0.7400000095367432
919,2017-01-13,14.0,"800,001-1,000,000",138,122350695,0.4699999988079071
920,2017-01-13,15.0,"1,000,001以上",1439,23821744134,91.86000061035156
923,2017-01-06,1.0,1-999,146167,32900866,0.11999999731779099
924,2017-01-06,2.0,"1,000-5,000",127916,269125141,1.0299999713897705
925,2017-01-06,3.0,"5,001-10,000",23737,169787600,0.6499999761581421
926,2017-01-06,4.0,"10,001-15,000",9096,110605732,0.41999998688697815
927,2017-01-06,5.0,"15,001-20,000",4113,72204194,0.27000001072883606
928,2017-01-06,6.0,"20,001-30,000",4694,114370101,0.4399999976158142
929,2017-01-06,7.0,"30,001-40,000",2196,75913850,0.28999999165534973
930,2017-01-06,8.0,"40,001-50,000",1393,62569493,0.23999999463558197
931,2017-01-06,9.0,"50,001-100,000",2762,192983964,0.7400000095367432
932,2017-01-06,10.0,"100,001-200,000",1457,203904267,0.7799999713897705
933,2017-01-06,11.0,"200,001-400,000",998,280347902,1.0800000429153442
934,2017-01-06,12.0,"400,001-600,000",442,217696203,0.8299999833106995
935,2017-01-06,13.0,"600,001-800,000",275,190910218,0.7300000190734863
936,2017-01-06,14.0,"800,001-1,000,000",144,128148839,0.49000000953674316
937,2017-01-06,15.0,"1,000,001以上",1430,23808912088,91.80999755859375
